@relation 'Acoustic Analysis (Time Domain)-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute 'dB ' numeric
@attribute 'Zero Crossing Number' numeric
@attribute 'Standard Deviation' numeric
@attribute block numeric
@attribute 'vertical line' numeric
@attribute 'horizontal line' numeric
@attribute 'line with angles' numeric
@attribute curve numeric
@attribute oscillation numeric
@attribute 'High Freq' numeric
@attribute 'Middle Freq' numeric
@attribute 'Low Freq' {0,1}

@data
-55.81,47,9.2138,0,0,0,0,0,0,0,0,0
-49.967,23,11.96,0,0,0,0,0,0,0,0,0
-52.119,32,12.631,0,0,0,0,0,0,0,0,0
-51.06,26,12.798,0,0,0,0,0,0,0,0,0
-54.911,50,10.208,0,0,0,0,0,0,0,0,0
-55.848,47,9.6047,0,0,0,0,0,0,0,0,0
-55.614,43,11.947,0,0,0,0,0,0,0,0,0
-55.397,38,11.317,0,0,0,0,0,0,0,0,0
-54.179,41,8.8124,0,0,0,0,0,0,0,0,0
-53.554,27,12.617,0,0,0,0,0,0,0,0,0
-54.744,50,9.2151,0,1,0,0,0,0,0,1,0
-52.944,90,7.9427,0,1,0,0,0,0,0,1,0
-53.947,104,7.3254,0,1,0,0,0,0,0,1,0
-56.987,60,8.3171,0,1,0,0,0,0,0,1,0
-52.275,37,12.742,0,1,0,0,0,0,0,1,0
-55.075,43,10.758,0,0,0,0,0,0,0,0,0
-56.021,53,10.006,0,0,0,0,0,0,0,0,0
-53.532,36,11.729,0,0,0,0,0,0,0,0,0
-53.452,37,11.034,0,0,0,0,0,0,0,0,0
-54.703,40,10.394,0,0,0,0,0,0,0,0,0
-57.837,60,7.0386,0,0,0,0,0,0,0,0,0
-55.124,40,10.31,0,0,0,0,0,0,0,0,0
-55.523,41,10.082,0,1,0,0,0,0,1,0,0
-53.971,43,11.003,0,1,0,0,0,0,1,0,0
-54.624,41,10.963,0,1,0,0,0,0,1,0,0
-54.862,48,10.594,0,0,0,0,0,0,0,0,0
-55.299,47,8.1358,0,0,0,0,0,0,0,0,0
-55.579,44,9.5289,0,0,0,0,0,0,0,0,0
-55.81,50,9.4178,0,0,0,0,0,0,0,0,0
-54.618,36,10.766,0,0,0,0,0,0,0,0,0
-56.463,42,9.9127,0,0,0,0,0,0,0,0,0
-56.159,45,9.0491,0,0,0,0,0,0,0,0,0
-53.633,33,11.783,0,0,0,0,0,0,0,0,0
