Frame Number,Start Sample No.,End Sample No.,dB ,Zero Crossing Number,Standard Deviation,block,vertical line,horizontal line,line with angles,curve,oscillation,High Freq,Middle Freq,Low Freq
219,111617,112128,-51.129,53,5.0297,0,0,1,0,0,0,0,0,1
220,112129,112640,-52.62,49,5.2722,0,0,1,0,0,0,0,0,1
221,112641,113152,-56.689,48,8.8049,0,0,1,0,0,0,0,0,1
222,113153,113664,-58.897,66,7.0149,0,0,1,0,0,0,0,0,1
223,113665,114176,-53.368,47,6.9545,0,0,1,0,0,0,0,0,1
224,114177,114688,-49.804,48,3.3678,0,0,1,0,0,0,0,0,1
225,114689,115200,-52.518,42,7.2108,0,0,1,0,0,0,0,0,1
226,115201,115712,-49.078,38,6.852,0,0,1,0,0,0,0,0,1
227,115713,116224,-54.634,46,8.3938,0,0,1,0,0,0,0,0,1
228,116225,116736,-56.439,44,10.063,0,0,0,0,0,0,0,0,0
229,116737,117248,-56.097,56,7.5278,0,0,1,0,0,0,0,0,1
230,117249,117760,-52.724,59,5.8413,0,0,1,0,0,0,0,0,1
231,117761,118272,-45.927,65,2.3915,0,0,1,0,0,0,1,0,1
232,118273,118784,-44.783,66,1.4112,0,0,1,0,0,0,1,0,1
233,118785,119296,-46.091,67,0.99751,1,0,1,0,0,0,1,0,1
234,119297,119808,-42.72,61,1.4733,1,0,1,1,0,0,1,0,1
235,119809,120320,-49.051,45,4.7073,1,0,1,1,0,0,1,0,1
236,120321,120832,-51.252,51,4.6905,1,0,1,1,0,0,1,0,1
237,120833,121344,-54.379,62,6.6931,1,0,1,1,0,0,1,0,1
238,121345,121856,-54.337,72,5.2976,0,0,0,1,0,0,0,0,1
239,121857,122368,-53.376,69,2.6002,0,0,0,1,0,0,0,0,1
240,122369,122880,-55.249,58,5.4804,0,0,0,1,0,0,0,0,1
241,122881,123392,-55.317,56,7.5256,0,0,0,1,0,0,0,0,1
242,123393,123904,-55.1,60,8.2226,0,0,0,1,0,0,0,0,1
243,123905,124416,-55.706,58,8.3896,0,0,0,0,0,0,0,0,0
244,124417,124928,-52.873,63,4.4053,0,0,0,0,1,0,0,0,1
245,124929,125440,-49.296,68,3.0311,0,0,0,0,1,0,0,0,1
246,125441,125952,-52.224,67,3.0304,0,0,0,0,1,0,0,0,1
247,125953,126464,-50.596,57,7.535,0,0,0,0,1,0,0,0,1
248,126465,126976,-47.579,79,1.7338,0,0,0,0,1,0,0,0,1
249,126977,127488,-50.911,76,5.2373,0,0,0,0,1,0,0,0,1
250,127489,128000,-49.61,60,7.2672,0,0,0,0,1,0,0,0,1
251,128001,128512,-52.952,66,6.3376,0,0,0,0,1,0,0,0,1
