CallId	AudioReadingID	Hits	PeriodicHits	BestCallScore	BestScoreLocation
2	E2A80E9E-D0C8-44A9-ADDA-D1441DB27245	14	1	2	25932
2	4A2AFC14-C695-4A0C-BFA6-D2FB994D16B3	31	10	6	10439
2	C2A9A9A2-4EB1-4BD4-A456-D44AB9210EB8	3	0	0	0
2	BC906400-2502-47E3-BF19-D6D3CAFF95E7	44	5	4	16346
2	23283B64-2A6E-4B89-AAE3-D9B100EAFDE1	6	0	0	0
2	27F44A05-D8B3-461F-80EA-DA3725A99D2A	28	4	4	5275
2	BF72427B-1AC7-44AC-9947-DE543BC76985	25	6	6	8582
2	D2988C92-6DD6-415E-9BA3-E07C36180767	10	2	2	19504
2	92AEED4A-AA8B-4297-BE60-E434E6F8BB69	30	3	2	14192
2	87E8A97B-287A-4953-9AA3-E48E192FEC87	9	1	2	22328
2	46DE0C44-8D5E-4769-B037-E49374A17518	6	0	0	0
2	2A1B94A1-1D73-480A-AE61-E72704DA07EA	22	3	6	2786
2	17BBF636-C21B-4D4A-80B2-E8CB4F47E300	16	3	6	26860
2	9687A23E-99F0-40C2-83D3-E9797A0A7DC6	33	7	6	6910
2	2F4E3D15-2F52-46B5-959F-EAD2E4ED7A71	25	4	4	15678
2	28584F82-EADA-4121-AF0B-EBE39F50EC55	12	2	4	27306
2	6F6F1E22-DAB8-415B-B1DB-F1DE1A87A013	10	1	2	3603
2	93536620-DC75-4FF5-B912-F1ED399D63AC	48	15	9	7616
2	02907C6F-9C9A-491A-8377-F2CAC452A681	7	1	2	20953
2	D0EBC809-D88D-4E7E-8F38-F341BE64F35E	12	2	4	27306
2	77567BE9-439A-432C-AED7-2C0A7C99EC0A	29	3	2	7801
2	48D06742-EA1D-44A8-A7F7-2D15762A07BA	5	0	0	0
2	BB6943D1-AA50-4362-93C9-2D415EBBA0B3	9	1	2	26526
2	C4E11F7E-B220-4FD0-9C62-2D54C6D842AD	7	1	2	3232
2	B097AC24-E620-457F-AB86-2D8B5E4B8FDD	3	0	0	0
2	2146E661-13C9-4C4F-A400-30C84ECBC6FB	18	2	4	9919
2	A54F1DAB-9620-4482-8A46-33F473055925	14	0	0	0
2	05F5B86E-ED8D-4CA1-B787-3413F7EC5DE8	9	0	0	0
2	00A264F4-D178-4CF8-B081-373F9BB26240	26	1	2	2674
2	C90569E2-82DB-4F46-BADE-44692EC8BBDF	19	3	2	6538
2	8C8F4AB6-F339-4837-94DA-4482C565D00B	11	3	6	17461
2	B821731F-C7A9-43BB-ABD0-448E99813D82	13	2	2	15009
2	742A38C3-1F09-4BD2-8A67-449D9D4E324F	11	3	2	4346
2	A43F56AF-4DF8-4C2F-9430-449FC2238C37	4	1	2	22476
2	90BB2D30-3F7B-4020-BBC0-59096902E1C1	11	2	2	3306
2	0E9CF305-B2F4-4079-8D06-5B28300B6DBE	6	0	0	0
2	E8FC4E40-E1E6-48DC-BA14-6019C9DF271B	18	1	2	14117
2	8FB06E90-7456-4449-B646-6221CFA613AF	15	1	2	18315
2	100FF7A5-69CE-4B54-9EFA-757888D21C2B	27	2	4	2935
2	FC007EB4-F5C0-4178-96BC-786765D4F348	5	0	0	0
2	6C6F8B69-C0DF-49BF-AF89-78A08C10B23F	22	3	2	14675
2	D161963E-9D78-4ABF-8B6B-7F65C455EF4F	14	4	6	20284
2	09D99BFE-1B90-4400-A230-7F885391B637	9	0	0	0
2	08801D0E-2833-4274-9865-7F9D78A069C3	7	0	0	0
2	0B6B3BE2-6C4A-4DD3-92A4-7FB27A54E02A	20	0	0	0
2	0E9546AF-3EF7-458F-9748-7FC114966E6E	35	3	2	7653
2	8AE7C35B-39D5-4E0F-A369-7FC855CCFD9B	13	4	8	45622
2	7C84B1E7-3101-4C55-8382-7FCD97308303	9	0	0	0
2	6664F5AE-8DC1-4CF6-ADB8-7FCE089AF370	6	1	2	38600
2	9B75A98F-EF8A-4D51-9094-7FD2426890BD	15	4	2	2674
2	48B3FEAD-158E-4ABE-A5D6-7FDFC90A2557	14	3	6	17015
2	5E108812-4FA3-41B1-9D99-97200BBE3B43	50	0	0	0
2	E37785FF-6ACF-456B-8D00-9FC455AAEE2E	15	1	2	2935
2	38E036F3-9643-4210-8CC1-9FD067DAE5FA	7	0	0	0
2	56FE4183-404C-445D-B9A3-A133D968AECD	3	0	0	0
2	8A778B27-1519-481F-A941-A9C2CC8EFD1B	46	3	6	19764
2	1873D89C-760A-4331-8889-AAD51476AD5A	45	5	6	7096
2	9EAAFBCB-F9F8-4F3E-A16D-AADC524F53CB	17	0	0	0
2	3B41B7F4-0265-4F97-8F44-AAE1156BA4F7	2	0	0	0
2	B38855AB-EA7B-4232-BC43-AAEDFBF7F95B	12	0	0	0
2	3F1CA613-53EA-42DB-A17B-AB03DFFBD6BB	12	0	0	0
2	221C34D1-60C1-4A3D-914A-AB09C88B2FDD	87	28	14	56582
2	63F91048-74D8-4A6D-8A97-AB1B9B48648B	6	0	0	0
2	67A44427-4ECB-45EF-9772-AB1C122EBBED	75	11	6	2637
2	A8A1B89B-F9D3-4E9A-8E7E-AB264A61376B	1	0	0	0
2	E9A95187-635B-4311-B938-AB29527E92D6	5	0	0	0
2	0D26E449-586B-413A-B68A-AB4B3672A4BB	4	0	0	0
2	4FA60B58-F8F7-4A05-9DFA-AB5E4DCCBB82	17	2	2	20284
2	8FC9FE65-3994-413A-807F-AB6B995567FD	18	3	2	16049
2	E66FE7DB-6BC7-43FE-8E9E-AB7F43F3B64B	57	0	0	0
2	FDE89E66-8EAF-485D-B80F-ACAD84ECB2B8	3	0	0	0
2	89EDAF5D-FAB0-4E69-B716-BA1E41D2C464	20	2	2	4086
2	3A3CACE9-E2B9-4FF9-A78B-C2CEBADE9A99	68	8	4	10885
2	C74D38A9-93CF-4DB4-9EB0-C3C28B01D6E8	29	3	2	8359
2	B0D81994-FE61-4247-982D-C95A3419B9CC	2	0	0	0
2	5DF26F33-9192-4A8F-BCEE-D0EE95720D7F	16	2	2	23591
2	F1C06416-1E58-4DC9-93FA-D249C9B019E2	5	0	0	0
2	AEDC461B-7847-4A07-821F-E004269F95D4	24	0	0	0
2	78E967E6-A48F-4B64-AD45-E30B71C2A8CB	9	0	0	0
2	D73E4C60-2389-4FB9-84DD-E31F23964F96	11	0	0	0
2	B07E1576-1C5B-49C1-BD00-E3338C96738F	9	1	2	4123
2	B6E0D70A-84C0-4405-8CDE-E33A40FF35EC	2	0	0	0
2	67739E8E-43D0-4C10-AED3-E3452FA78BFD	6	0	0	0
2	3CB23C48-A369-4A70-8B55-E3661329A706	9	1	2	9250
2	AB846C79-01DA-41F5-88E4-E3677C94DD64	2	0	0	0
2	8D0EABAE-C740-4E2A-8E5B-E37E582FA05C	6	0	0	0
2	B1916976-36CD-467F-90FA-E8FED8432995	29	3	4	15380
2	9E85281E-5C1D-4A80-9F5E-ED0E0EF78975	62	0	0	0
2	47FEE328-0D84-4248-97BB-024861F4639B	24	10	20	2600
2	41386AC1-26B1-4741-A8B5-06B06D6C9B31	16	3	6	15826
2	DE9C3F20-49ED-43A1-808E-081C425C95B8	0	0	0	0
2	94EE2833-97D1-488C-A3DF-098BA6C1EBBC	18	6	6	4012
2	CE6B47FD-C8B8-44C3-B7C0-1218E60FA2D9	21	5	8	26749
2	6C88C537-C745-4E32-A016-17E242882FE3	14	0	0	0
2	33008206-FED3-4B30-AA48-1B68369DEE9D	13	4	0	0
2	0C3A3632-CC39-415C-91AD-1D35A0918BC2	7	0	0	0
2	114F66B6-B4FC-4D54-825C-1DEB69169F55	58	23	26	3380
2	34B26803-A899-4B5E-AC73-217E68FADBFE	26	6	12	2674
2	56B32E7C-6A2A-491E-8CA4-2224A7B3BCD0	6	0	0	0
2	CB4E4B95-5B31-4E51-A7EA-22CDCF710A23	15	6	4	3900
2	457DFC0A-6504-450C-9858-239444B03F1D	9	0	0	0
2	C327BA16-5D66-4035-BE51-23F508BA0819	7	0	0	0
2	7D5C5429-A3C4-4D2B-A8A3-2509650D2CD5	14	2	4	2749
2	BC680BDF-7EAD-4E81-8CAE-27893855BBB8	3	0	0	0
2	0E8D7068-8EED-420E-AF92-290509FA1315	61	6	4	18761
2	7BF4965A-A236-4B30-951F-2BBC36210653	13	2	4	25560
2	302774F9-B96B-477A-ABA1-2CBBB587EBE1	21	4	8	2600
2	7080F9B0-ED45-4386-9037-2E2EE1FF2725	13	1	2	3195
2	FC0A37D3-87D9-473B-B040-30981DE3E528	19	1	2	11851
2	C2E31297-A811-4488-BF9A-323565C9E3AA	45	22	25	2749
2	FF2F9353-B42D-455F-ACAF-3596B0D257C8	24	3	4	13857
2	A050FD97-6002-4775-A31F-367BAA61683A	1	0	0	0
2	8890D8FB-0D15-4052-9987-3945208EE600	17	0	0	0
2	0C3E6527-42C9-41B0-9C99-3A2A901E9B1D	26	7	6	4123
2	4E55F9CB-BA5D-43D6-ABDE-3BF4DD2616BA	7	0	0	0
2	7BD8D05B-5AE9-4277-A881-3CBFBA3FC0E0	4	1	2	16346
2	3529C192-B372-4C9A-A910-3EB774513250	17	3	2	25226
2	4EC5B274-8D25-44DF-B545-3EE00755C961	5	0	0	0
2	A8044946-0D68-436C-8907-402BEFF4D562	4	0	0	0
2	B36F7788-E21A-4CFE-9937-404F07506017	10	0	0	0
2	21AB8C5E-A8EB-4416-9079-41EEC2431774	52	9	4	3752
2	8895FBA9-C7A0-4D49-B1DE-42306C6B0AFD	4	0	0	0
2	4EBAE680-E476-4632-99DB-473753588A95	5	0	0	0
2	9766936C-08CB-4703-A21C-484D78DC2F7C	6	0	0	0
2	F19D4B1D-6FEA-4AC5-BB38-48752FF5B354	4	1	0	0
2	7CE16BBC-DC22-4557-AFD5-491DBAA3D6D9	18	2	2	3752
2	2185A492-30A1-4835-A5AD-49644CF97A33	61	2	2	16458
2	9D7EF5FC-2EF6-450F-BD33-49C60BBAD404	16	3	5	22885
2	74B99A98-2FEF-46F3-90EE-4B4FFCF6D9A7	15	1	2	25560
2	6D602E63-D679-4818-844E-4D544512B446	39	10	10	25783
2	8046CA5A-7939-4749-95F3-4FC1579F058E	15	0	0	0
2	FA71B528-A4C6-457B-829C-50D7434E3579	8	0	0	0
2	2EB12200-2A5A-456A-A9E3-528EAF04E348	22	5	6	10885
2	7A48A5E7-41D9-4960-AB06-5430F23DE39C	0	0	0	0
2	22E4DD8F-4AC7-4E98-AAD0-55587EFD4BA2	16	1	2	15492
2	02550FE3-7182-4A0F-A1D9-57B0F3853DE4	9	0	0	0
2	E97F2B38-9129-48C5-B8D8-5A69AD452654	6	1	0	0
2	705A3009-D833-49A2-9725-5BDC9D0A751A	11	1	2	14303
2	080142EE-8085-41DF-9E03-5EB18125FAEF	52	7	6	7913
2	7B7FF4DE-C4F8-4BFE-91FF-629E7D279A7A	3	0	0	0
2	C7526E10-5E71-4B6B-AA6D-682A3E23077E	6	0	0	0
2	F93A346C-B64B-40DC-B59B-68A69D909F03	54	8	6	2712
2	B5245775-1D3D-4DF2-AC57-6A8EAE15DAFA	17	0	0	0
2	E8F67B6F-9EC5-472A-AA85-712C26115637	11	0	0	0
2	5CB469D5-6BF8-4C32-AC50-72B63314D696	4	0	0	0
2	43F0736E-ECF1-42A4-BB6A-7573FE27DCB1	5	0	0	0
2	E4447D3C-9D67-478A-B993-7733B7D1AFCF	11	2	2	3640
2	A92488B6-6B0E-4866-B612-793DFD2CE3CD	11	0	0	0
2	290C760B-EDA0-4123-AB75-7C012008D114	5	0	0	0
2	CE73155C-3A44-4267-BEB0-7C5B8A0F3E8F	5	0	0	0
2	DF88EDBA-A7FE-4782-AFE3-800E1597C3C7	12	1	2	18315
2	A59CD2A7-2F3F-4D89-B9F5-87CC2BDFBDB4	10	0	0	0
2	B56D1C90-BE76-4448-B2CD-8909B6946623	15	1	2	8210
2	4B37CE47-816A-4D25-A553-8A25EDC162D4	30	6	4	12297
2	7CC18A14-F7C6-4081-8A79-8A3081346D04	10	0	0	0
2	CA39DDA0-CB85-42DA-9DE7-8A5295C4F2B7	4	0	0	0
2	0E45F0FE-D191-4BF7-B42B-8C43CF96462B	39	9	4	3566
2	C69E6034-92A9-4BC9-A88F-8C9B5C13906C	8	1	0	0
2	A4D51C3B-3661-4194-B12D-8DF1DE4A81F1	11	0	0	0
2	C743C69A-51E8-4690-AFCC-908EB5AF2C2F	36	1	2	17089
2	33148434-AE8C-4340-B0F3-9189B05A2D66	5	0	0	0
2	231F5DA3-32A7-46FB-BD6B-9A72A91BB7D5	16	1	2	12817
2	5E65D096-957B-4D56-9C63-9CBA09944BF7	11	2	4	21288
2	6BAA0885-176D-4A52-8D5A-ABC4C170B243	2	0	0	0
2	A45D5B10-EEEE-48EF-BEFA-AF623D8BD059	6	0	0	0
2	0E090B48-CB17-469E-B695-B5FD5B3BBDAA	10	2	4	25894
2	1F087D09-C609-4098-A253-B8024B94C09E	7	0	0	0
2	CF037CB7-DD94-4BD6-9277-B80B138D80C5	18	2	2	5387
2	A416D4D4-404A-4087-B44B-BDD6B704F578	48	2	4	6798
2	027CD36F-D5BE-46E2-9523-BE429A037464	6	1	2	20990
2	92A15032-A9C4-40AD-A60F-BF78A909589F	3	0	0	0
2	6BC152F4-22EC-4594-BC05-C208216E82DB	5	1	2	13337
2	CDB6854C-87F7-4674-8DB1-C4D44B342E9A	74	3	4	7021
2	084410D4-BA14-4938-8814-C590E6501A3F	15	0	0	0
2	EE6129C1-3A1B-45D4-AFDA-C67EB394DA52	92	1	2	21622
2	3182C345-AE37-42B3-86DF-C886598D3CA4	14	1	2	22179
2	3EE9D3AE-DAAA-4B3D-8267-C9305AECACD3	17	0	0	0
2	21382656-673F-4E34-ABDD-CD7D4F037991	8	0	0	0
2	9EB0A92C-410A-4AC2-AFD6-D594690ADDEA	27	5	5	3789
2	648B4F24-926E-4C3A-998A-D6DFE79EA080	7	0	0	0
2	84D01673-ED06-4A66-AB8C-DAD78EE8F659	8	0	0	0
2	663921B7-2CFD-4D68-8DCB-E405487B52F0	7	0	0	0
2	9206520F-FF65-409B-807F-E9966FCF7CAC	6	0	0	0
2	6847AC25-FBF4-41BC-BDFA-EB22BCDB1381	6	0	0	0
2	25CEE578-2563-4445-9FC8-F1360187CEAD	14	8	0	0
2	8E8FAABC-1CEB-45E8-9CD5-F37F4AFACB4F	18	1	2	21473
2	7AD06F49-8580-4757-AB83-F48CF1F63B27	18	5	6	27120
2	140D83DC-DD27-4BB9-B525-FE1EEF0517A2	10	1	2	16829
2	EE3774F6-F450-40DA-8EA1-0B2EB5538A00	33	11	12	5944
